exposure1	exposure2	beta1_prune_FIVW	se1_prune_FIVW	z1	p1	beta2_prune_FIVW	se2_prune_FIVW	z2	p2	nsnps	outcome	panel
AA:DGLA lnD5Dpooled	GLA:LA lnD6Dpooled	0.943023332440273	0.280097166053491	3.36677213028346	0.000760535032280787	0.458677999417555	0.0732735783882131	6.2598007290898	3.85469710992854e-10	299	Colorectal cancer	CHB+JPT
FADS1 expression in B cells	FADS2 expression in B cells	-0.108901091140008	0.0338062118381915	-3.22133374958565	0.00127595465784722	0.0159899515226215	0.0401435678019139	0.398319142970126	0.690394951384389	299	Colorectal cancer	CHB+JPT
FADS1 expression in CD4 T cells	FADS2 expression in CD4 T cells	-0.0714348516941354	0.0445902272710775	-1.60202932494291	0.109149124947513	-0.0219093884640217	0.0466222252916978	-0.469934421339669	0.638401871003661	299	Colorectal cancer	CHB+JPT
FADS1 expression in Monocytes	FADS2 expression in Monocytes	0.224622562861676	0.0570119651335615	3.93991967011581	8.15088975767101e-05	-0.221096533216143	0.0432300306216313	-5.11442000009852	3.14706429286503e-07	299	Colorectal cancer	CHB+JPT
FADS1 expression in Blood	FADS2 expression in Blood	-0.0496961783488994	0.0774477532107056	-0.641673596568969	0.521085136209617	-0.0781991012616666	0.0431643300419125	-1.81166025710895	0.0700387080766903	299	Colorectal cancer	CHB+JPT
FADS1 expression in CD8 T cells	FADS2 expression in CD8 T cells	-0.100811577661336	0.0345032644309759	-2.92179825080061	0.00348016890998922	0.0146505838630017	0.0430415118689636	0.340382649838235	0.733568382911222	299	Colorectal cancer	CHB+JPT
FADS1 expression in NK cells	FADS2 expression in NK cells	-0.108207194718492	0.0341838042281282	-3.16545209527772	0.00154842156614672	-0.00155004981675444	0.0364945118409122	-0.0424735046056091	0.966121232946135	299	Colorectal cancer	CHB+JPT
AA:DGLA lnD5Dpooled	GLA:LA lnD6Dpooled	0.551827812997578	0.304406944236764	1.81279640115034	0.069863229248242	0.475466511671162	0.0693431850575908	6.85671578650848	7.04616160866707e-12	299	Colorectal cancer	CHB
FADS1 expression in B cells	FADS2 expression in B cells	-0.108521422614862	0.0364074482237177	-2.9807478389591	0.00287545456973543	0.0246947104944369	0.0412407596042191	0.598793783902821	0.549310408031799	299	Colorectal cancer	CHB
FADS1 expression in CD4 T cells	FADS2 expression in CD4 T cells	-0.110929246784964	0.044379434389005	-2.49956423086922	0.0124346155599612	0.0140618928949015	0.04622529479609	0.304203422756557	0.760972917355551	299	Colorectal cancer	CHB
FADS1 expression in Monocytes	FADS2 expression in Monocytes	0.269796791065479	0.0629948226012264	4.28284071491657	1.8452226917856e-05	-0.215980546152265	0.0445150828383451	-4.85185093188729	1.22314545757299e-06	299	Colorectal cancer	CHB
