"id.exposure"	"id.outcome"	"outcome"	"exposure"	"method"	"nsnp"	"b"	"se"	"pval"
"1"	"ieu-b-142"	"ieu-a-985"	"Lung cancer || id:ieu-a-985"	"Cigarettes smoked per day || id:ieu-b-142"	"MR Egger"	21	1.60394738738238	0.217598740501408	5.53066807295087e-07
"2"	"ieu-b-142"	"ieu-a-985"	"Lung cancer || id:ieu-a-985"	"Cigarettes smoked per day || id:ieu-b-142"	"Weighted median"	21	1.48684409060985	0.112945325612859	1.4087085905831e-39
"3"	"ieu-b-142"	"ieu-a-985"	"Lung cancer || id:ieu-a-985"	"Cigarettes smoked per day || id:ieu-b-142"	"Inverse variance weighted"	21	1.07807390296172	0.151538281392028	1.1256241594641e-12
"4"	"ieu-b-142"	"ieu-a-985"	"Lung cancer || id:ieu-a-985"	"Cigarettes smoked per day || id:ieu-b-142"	"Simple mode"	21	0.937074338674917	0.279843200127558	0.00319870343766174
"5"	"ieu-b-142"	"ieu-a-985"	"Lung cancer || id:ieu-a-985"	"Cigarettes smoked per day || id:ieu-b-142"	"Weighted mode"	21	1.43891740372059	0.103055374693336	8.95491094485718e-12
"6"	"ieu-b-142"	"ieu-a-986"	"Lung cancer || id:ieu-a-986"	"Cigarettes smoked per day || id:ieu-b-142"	"MR Egger"	21	0.0291739616724295	0.253731041299363	0.909667515895181
"7"	"ieu-b-142"	"ieu-a-986"	"Lung cancer || id:ieu-a-986"	"Cigarettes smoked per day || id:ieu-b-142"	"Weighted median"	21	-0.0063308175824167	0.185417440397652	0.972762646708982
"8"	"ieu-b-142"	"ieu-a-986"	"Lung cancer || id:ieu-a-986"	"Cigarettes smoked per day || id:ieu-b-142"	"Inverse variance weighted"	21	0.0265434534255328	0.148264900563234	0.857916326090472
"9"	"ieu-b-142"	"ieu-a-986"	"Lung cancer || id:ieu-a-986"	"Cigarettes smoked per day || id:ieu-b-142"	"Simple mode"	21	-0.4313059380583	0.393928952791119	0.286578925154066
"10"	"ieu-b-142"	"ieu-a-986"	"Lung cancer || id:ieu-a-986"	"Cigarettes smoked per day || id:ieu-b-142"	"Weighted mode"	21	-0.00149194456793822	0.207427886672229	0.994332451454626
"11"	"ieu-b-142"	"ieu-a-987"	"Lung cancer || id:ieu-a-987"	"Cigarettes smoked per day || id:ieu-b-142"	"MR Egger"	22	1.47246618554081	0.183721669176634	1.13314683235889e-07
"12"	"ieu-b-142"	"ieu-a-987"	"Lung cancer || id:ieu-a-987"	"Cigarettes smoked per day || id:ieu-b-142"	"Weighted median"	22	1.1847452519868	0.0857179583085627	1.89257086661098e-43
"13"	"ieu-b-142"	"ieu-a-987"	"Lung cancer || id:ieu-a-987"	"Cigarettes smoked per day || id:ieu-b-142"	"Inverse variance weighted"	22	1.0344033022106	0.124307686773932	8.69934026976317e-17
"14"	"ieu-b-142"	"ieu-a-987"	"Lung cancer || id:ieu-a-987"	"Cigarettes smoked per day || id:ieu-b-142"	"Simple mode"	22	0.829667186345224	0.179033735013777	0.00014278850711668
"15"	"ieu-b-142"	"ieu-a-987"	"Lung cancer || id:ieu-a-987"	"Cigarettes smoked per day || id:ieu-b-142"	"Weighted mode"	22	1.27867354756333	0.0725235242656364	4.5909062509512e-14
"16"	"ieu-b-4877"	"ieu-a-985"	"Lung cancer || id:ieu-a-985"	"smoking initiation || id:ieu-b-4877"	"MR Egger"	82	0.196274265377952	0.461682425968444	0.671884496236848
"17"	"ieu-b-4877"	"ieu-a-985"	"Lung cancer || id:ieu-a-985"	"smoking initiation || id:ieu-b-4877"	"Weighted median"	82	0.240506196026509	0.107706095306387	0.0255498718416546
