GECCO/CORECT/CCFR; ACCC; FinnGen	ILCCO; BJ; UKB; FinnGen	KidRISK; UKB; FinnGen	PanC4; PanScan I+II; PanScan III; BJ; FinnGen	BJ; N-UGC	INHANCE; UKB; FinnGen	EAS; UKB	MCCS; SCCS; BJ	NBCS; UKB; FinnGen	BJ; CHC; UKB	N-UGC; BJ	BCAC; UKB; FinnGen	PRACTICAL; UKB; BJ; FinnGen	GICC/MDA; GliomaScan; UCSF_Mayo; UCSF_AGS + SFAGS	MENC	UKB; UMS; FinnGen	ECAC; BJ; FinnGen	OCAC; OCAC (EAS); UKB; BJ; FinnGen	23NMSC; UKB; HNMSC	MMAC; UKB	23NMSC; HNMSC; UKB	InterLymph	BC-ALL; C-ALL; SJ-COG	InterLymph	HLS	InterLymph; FinnGen	EPITHYR; TCS; UKB; FinnGen	MMS; UKB; FinnGen	NBS	InterLymph	FinnGen	UKB	ESS	FinnGen	FinnGen	UMS	BC-NHL	KCML	UKB	FinnGen
GECCO/CORECT/CCFR; ACCC; FinnGen	0	0.0345709080719014	0.0256133790945036	0.0353364138622918	0	0.0243018068053704	0.00438336625238627	0	0.0178796688069101	0.0025792618585729	0	0.0546784462024089	0.0494021478545128	0	0	0.00945883355755411	0.0255170277354264	0.0295876659833942	0.00477464947982459	0.0075924875068429	0.00344143152339552	0	0	0	0	0.0573948842167929	0.0144415048108555	0.0141077918399968	0	0	0.0266609209095435	0.00142289445415199	0	0.0213570941146234	0.0208527689949359	0	0	0	0.000913084265179645	0.0143219577659864
ILCCO; BJ; UKB; FinnGen	0.0345709080719014	0	0.0225678607739922	0.0249880885804603	0.025067697181493	0.0214122389129729	0.0168755440487236	0.0176550763946662	0.0157537150733082	0.0155677528874746	0.0154943435377848	0.0481769920587709	0.0631574338287417	0	0	0.00833414591739888	0.018044325376303	0.0378259071244496	0.0183819473378777	0.0292303563023873	0.0132491847406342	0	0	0	0	0.0127150302460515	0.0127243605279814	0.0124303271699841	0	0	0.00590635246291249	0.00547800860232803	0	0.00473136415101872	0.00461963800611619	0	0	0	0.00351528776059884	0.0031728285310123
KidRISK; UKB; FinnGen	0.0256133790945036	0.0225678607739922	0	0.00579993032462518	0	0.0158641997890075	0.0125029896885256	0	0.0116718333079426	0.00735701343783184	0	0.0356940453709731	0.0322496820852384	0	0	0.00617471888118403	0.00418822870746745	0.0193148043769016	0.0136190748788268	0.0216565962190903	0.00981624175879828	0	0	0	0	0.00942048988741773	0.00942740263751481	0.0092095550805704	0	0	0.00437598122628695	0.00405862382100461	0	0.00350543941114132	0.00342266217838237	0	0	0	0.00260445568427716	0.00235072968860564
PanC4; PanScan I+II; PanScan III; BJ; FinnGen	0.0353364138622918	0.0249880885804603	0.00579993032462518	0	0.0313152154298165	0.00550293601299553	0	0.0220551778939237	0.00404869786703411	0.00704293490185928	0.0193559345446192	0.0123814658371566	0.0357082100385125	0	0	0.00214187184688228	0.0225414377855899	0.0213861671479508	0	0	0	0	0	0	0	0.0158839445230612	0.00327015507702673	0.0031945886329327	0	0	0.00737836820196962	0	0	0.00591054242411418	0.0057709712352876	0	0	0	0	0.00396357943257238
BJ; N-UGC	0	0.025067697181493	0	0.0313152154298165	0	0	0	0.0322190491130348	0	0.0102885892190163	0.0282758909822072	0	0.0358219714667785	0	0	0	0.0226132516949092	0.0214543005244842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INHANCE; UKB; FinnGen	0.0243018068053704	0.0214122389129729	0.0158641997890075	0.00550293601299553	0	0	0.011862754960172	0	0.0110741592145089	0.00698028630158643	0	0.0338662771322374	0.0305982877416694	0	0	0.00585853294773622	0.00397376404456614	0.0183257602489362	0.0129216892996421	0.020547637054698	0.00931358607144173	0	0	0	0	0.00893809928050841	0.00894465805265375	0.00873796571337467	0	0	0.00415190240822126	0.0038507957747322	0	0.00332593801946923	0.00324739952164085	0	0	0	0.00247109054369302	0.00223035697606966
EAS; UKB	0.00438336625238627	0.0168755440487236	0.0125029896885256	0	0	0.011862754960172	0	0	0.00872783375837443	0.00692626607492755	0	0.026690896446382	0.0241153087586378	0	0	0.00461726264227892	0	0.0144430096994622	0.0128216887331003	0.0203886195068437	0.00924150850773609	0	0	0	0	0	0.00704951834237547	0.00688661871799641	0	0	0	0.00382099458154607	0	0	0	0	0	0	0.00245196684797376	0
MCCS; SCCS; BJ	0	0.0176550763946662	0	0.0220551778939237	0.0322190491130348	0	0	0	0	0.00724621122315046	0.019914594140968	0	0	0	0	0	0.0318528409941209	0.0302203518744863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBCS; UKB; FinnGen	0.0178796688069101	0.0157537150733082	0.0116718333079426	0.00404869786703411	0	0.0110741592145089	0.00872783375837443	0	0	0.0051356349035824	0	0.0249165761088029	0.02251220476161	0	0	0.00431032267019529	0.00292363385169982	0.0134828873634782	0.00950692789856012	0.0151175979730612	0.00685232319126285	0	0	0	0	0.00657606474196213	0.00658089025451261	0.00642881964507879	0	0	0.00305469632657945	0.0028331618980711	0	0.00244700613154734	0.00238922267778976	0	0	0	0.00181806566346972	0.00164094976034845
BJ; CHC; UKB	0.0025792618585729	0.0155677528874746	0.00735701343783184	0.00704293490185928	0.0102885892190163	0.00698028630158643	0.00692626607492755	0.00724621122315046	0.0051356349035824	0	0.00635937695929567	0.015705466349702	0.0222464630755427	0	0	0.00271689125173154	0.00508582353404354	0.0133237307966751	0.0075445424378527	0.0119970784130413	0.00543789157401674	0	0	0	0	0	0.0041480799766391	0.00405222652435046	0	0	0	0.00224835092906743	0	0	0	0	0	0	0.00144278716523426	0
