region	iteration	traits	posterior_prob	regional_prob	candidate_snp	posterior_explained_by_snp	dropped_trait	max	min	bp	traits_nice_names	dropped_trait_nice_names
ELOVL2	1	T6, T10, T23, T29	0.686	0.8653	rs1225717	0.8913	NA	11231112	10738813	492299	GLA:LA / D6D (Shin), DHA:DPAn3 / ELOVL2 (Framingham), POA:PA / SCD (Shin), ELOVL2 expression in Liver (GTEx) mac=74	NA
ELOVL2	2	None	NA	0.0548	NA	NA	T9	11231112	10738813	492299	NA	DHA:DPAn3 / ELOVL2 (CHARGE)
ELOVL2	3	None	NA	0.1035	NA	NA	T11	11231112	10738813	492299	NA	DHA:DPAn3 / ELOVL2 (Shin)
ELOVL2	4	None	NA	0.0021	NA	NA	T26	11231112	10738813	492299	NA	OA:SA / SCD (Shin)
ELOVL2	5	None	NA	0.0018	NA	NA	T17	11231112	10738813	492299	NA	DPAn3:EPA / ELOVL2/5 (Shin)
ELOVL2	6	None	NA	0.0014	NA	NA	T27	11231112	10738813	492299	NA	ELOVL2 expression in Adipose Subcutaneous (GTEx) mac=74
ELOVL2	7	None	NA	0.0012	NA	NA	T14	11231112	10738813	492299	NA	ADA:AA / ELOVL2/5 (Shin)
ELOVL2	8	None	NA	0.001	NA	NA	T3	11231112	10738813	492299	NA	AA:DGLA / D5D (Shin)
ELOVL2	9	None	NA	8e-04	NA	NA	T18	11231112	10738813	492299	NA	DGLA:GLA / ELOVL5 (CHARGE)
ELOVL2	10	None	NA	8e-04	NA	NA	T19	11231112	10738813	492299	NA	DGLA:GLA / ELOVL5 (Framingham)
ELOVL2	11	None	NA	7e-04	NA	NA	T8	11231112	10738813	492299	NA	DPAn6:AA / ELOVL2 (Shin)
ELOVL2	12	None	NA	5e-04	NA	NA	T20	11231112	10738813	492299	NA	DGLA:GLA / ELOVL5 (Shin)
ELOVL2	13	None	NA	3e-04	NA	NA	T28	11231112	10738813	492299	NA	ELOVL2 expression in Adipose Visceral Omentum (GTEx) mac=74
ELOVL2	14	None	NA	3e-04	NA	NA	T16	11231112	10738813	492299	NA	DPAn3:EPA / ELOVL2/5 (Framingham)
ELOVL2	15	None	NA	1e-04	NA	NA	T1	11231112	10738813	492299	NA	AA:DGLA / D5D (CHARGE)
ELOVL2	16	None	NA	0	NA	NA	T2	11231112	10738813	492299	NA	AA:DGLA / D5D (Framingham)
ELOVL2	17	None	NA	0	NA	NA	T15	11231112	10738813	492299	NA	DPAn3:EPA / ELOVL2/5 (CHARGE)
ELOVL2	18	None	NA	0	NA	NA	T7	11231112	10738813	492299	NA	DPAn6:AA / ELOVL2 (Framingham)
ELOVL2	19	None	NA	0	NA	NA	T24	11231112	10738813	492299	NA	OA:SA / SCD (CHARGE)
ELOVL2	20	None	NA	0	NA	NA	T5	11231112	10738813	492299	NA	GLA:LA / D6D (Framingham)
ELOVL2	21	None	NA	0	NA	NA	T4	11231112	10738813	492299	NA	GLA:LA / D6D (CHARGE)
ELOVL2	22	None	NA	0	NA	NA	T12	11231112	10738813	492299	NA	ADA:AA / ELOVL2/5 (CHARGE)
ELOVL2	23	None	NA	0	NA	NA	T13	11231112	10738813	492299	NA	ADA:AA / ELOVL2/5 (Framingham)
ELOVL2	24	None	NA	0	NA	NA	T22	11231112	10738813	492299	NA	POA:PA / SCD (Framingham)
ELOVL2	25	None	NA	0	NA	NA	T21	11231112	10738813	492299	NA	POA:PA / SCD (CHARGE)
FADS1	1	T5, T9, T10, T12, T13, T15, T16, T17, T21, T24, T25, T27, T28, T29, T30	0.4228	0.5363	rs174547	0.6732	NA	61792714	61362758	429956	GLA:LA / D6D (Framingham), DHA:DPAn3 / ELOVL2 (CHARGE), DHA:DPAn3 / ELOVL2 (Framingham), ADA:AA / ELOVL2/5 (CHARGE), ADA:AA / ELOVL2/5 (Framingham), DPAn3:EPA / ELOVL2/5 (CHARGE), DPAn3:EPA / ELOVL2/5 (Framingham), DPAn3:EPA / ELOVL2/5 (Shin), POA:PA / SCD (CHARGE), OA:SA / SCD (CHARGE), OA:SA / SCD (Framingham), FADS1 expression in Adipose Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose Visceral Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole Blood (GTEx) mac=86	NA
FADS1	2	T2, T18	0.9952	1	rs174555	1	NA	61792714	61362758	429956	AA:DGLA / D5D (Framingham), DGLA:GLA / ELOVL5 (CHARGE)	NA
FADS1	3	T1, T4	0.5776	1	rs174546	0.8627	NA	61792714	61362758	429956	AA:DGLA / D5D (CHARGE), GLA:LA / D6D (CHARGE)	NA
FADS1	4	None	NA	1	NA	NA	T11	61792714	61362758	429956	NA	DHA:DPAn3 / ELOVL2 (Shin)
FADS1	5	T14, T19	0.9976	1	rs174556	1	NA	61792714	61362758	429956	ADA:AA / ELOVL2/5 (Shin), DGLA:GLA / ELOVL5 (Framingham)	NA
FADS1	6	T3, T31	1	1	rs968567	1	NA	61792714	61362758	429956	AA:DGLA / D5D (Shin), FADS1 expression in blood (eQTLGen)	NA
FADS1	7	None	NA	0.4717	NA	NA	T6	61792714	61362758	429956	NA	GLA:LA / D6D (Shin)
FADS1	8	None	NA	0.007	NA	NA	T26	61792714	61362758	429956	NA	OA:SA / SCD (Shin)
FADS1	9	None	NA	8e-04	NA	NA	T8	61792714	61362758	429956	NA	DPAn6:AA / ELOVL2 (Shin)
FADS1	10	None	NA	6e-04	NA	NA	T20	61792714	61362758	429956	NA	DGLA:GLA / ELOVL5 (Shin)
