region	iteration	traits	posterior_prob	regional_prob	candidate_snp	posterior_explained_by_snp	dropped_trait	min	max	bp	traits_nice_names	dropped_trait_nice_names	study_group
ELOVL2	1	T4, T11	0.9642	0.98	rs2236212	0.8487	NA	10738813	11231112	492299	DHA:DPAn3 (CHARGE), ELOVL2 expression in Liver (GTEx) mac=74	NA	CHARGE
ELOVL2	1	T7, T9, T12	0.6283	0.8137	rs1225717	0.8777	NA	10738813	11231112	492299	GLA:LA (Shin), POA:PA (Shin), ELOVL2 expression in Liver (GTEx) mac=74	NA	Shin
ELOVL2	2	T4, T5	0.6331	0.6459	rs16870896	0.998	NA	10738813	11231112	492299	DHA:DPAn3 (Shin), DPAn3:EPA (Shin)	NA	Shin
ELOVL2	1	T4, T12	0.8635	0.9256	rs8523	0.6564	NA	10738813	11231112	492299	DHA:DPAn3 (Framingham), ELOVL2 expression in Liver (GTEx) mac=74	NA	Framingham
FADS1	1	T1, T6, T8, T9, T10, T12, T13	0.3958	0.5543	rs174546	1	NA	61362758	61792714	429956	AA:DGLA (CHARGE), GLA:LA (CHARGE), POA:PA (CHARGE), FADS1 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole_Blood (GTEx) mac=86	NA	CHARGE
FADS1	2	T2, T4, T5, T7	0.8696	1	rs174535	0.453	NA	61362758	61792714	429956	ADA:AA (CHARGE), DHA:DPAn3 (CHARGE), DPAn3:EPA (CHARGE), OA:SA (CHARGE)	NA	CHARGE
FADS1	1	T4, T5, T10, T11, T13, T14	0.3009	0.5529	rs1535	1	NA	61303610	61792714	489104	DHA:DPAn3 (Shin), DPAn3:EPA (Shin), FADS1 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole_Blood (GTEx) mac=86	NA	Shin
FADS1	3	T1, T12	1	1	rs968567	1	NA	61303610	61792714	489104	AA:DGLA (Shin), FADS1 expression in blood (eQTLGen)	NA	Shin
FADS1	1	T1, T2, T4, T5, T7, T8, T10, T11, T13, T14	0.4294	0.738	rs174549	0.8803	NA	61338245	61792714	454469	AA:DGLA (Framingham), ADA:AA (Framingham), DHA:DPAn3 (Framingham), DPAn3:EPA (Framingham), GLA:LA (Framingham), OA:SA (Framingham), FADS1 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole_Blood (GTEx) mac=86	NA	Framingham
FADS2	1	T2, T4, T5, T7	0.8696	1	rs174535	0.453	NA	61362758	61792714	429956	ADA:AA (CHARGE), DHA:DPAn3 (CHARGE), DPAn3:EPA (CHARGE), OA:SA (CHARGE)	NA	CHARGE
FADS2	2	T9, T10, T11, T13	0.9989	1	rs968567	1	NA	61362758	61792714	429956	FADS2 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS2 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS2 expression in blood (eQTLGen), FADS2 expression in Whole_Blood (GTEx) mac=86	NA	CHARGE
FADS2	3	T1, T6, T8	0.5248	1	rs174546	0.9661	NA	61362758	61792714	429956	AA:DGLA (CHARGE), GLA:LA (CHARGE), POA:PA (CHARGE)	NA	CHARGE
FADS2	1	T1, T10	0.9997	1	rs968567	1	NA	61303610	61792714	489104	AA:DGLA (Shin), FADS2 expression in Adipose_Subcutaneous (GTEx) mac=86	NA	Shin
FADS2	3	T11, T12, T14	0.9987	1	rs968567	1	NA	61303610	61792714	489104	FADS2 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS2 expression in blood (eQTLGen), FADS2 expression in Whole_Blood (GTEx) mac=86	NA	Shin
FADS2	1	T5, T10, T11, T12, T14	0.9671	0.9715	rs968567	1	NA	61338245	61792714	454469	DPAn3:EPA (Framingham), FADS2 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS2 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS2 expression in blood (eQTLGen), FADS2 expression in Whole_Blood (GTEx) mac=86	NA	Framingham
FADS2	2	T1, T4, T7, T8	0.5399	0.9997	rs174549	0.5662	NA	61338245	61792714	454469	AA:DGLA (Framingham), DHA:DPAn3 (Framingham), GLA:LA (Framingham), OA:SA (Framingham)	NA	Framingham
SCD	2	T8, T9, T10	0.9989	0.9989	rs603424	1	NA	101827619	102320363	492744	POA:PA (CHARGE), SCD expression in Adipose_Subcutaneous (GTEx) mac=65, SCD expression in Adipose_Visceral_Omentum (GTEx) mac=65	NA	CHARGE
SCD	1	T7, T8	0.9765	0.9993	rs2305384	1	NA	101826849	102320363	493514	GLA:LA (Shin), OA:SA (Shin)	NA	Shin
SCD	3	T5, T10, T11	0.9358	0.939	rs603424	1	NA	101826849	102320363	493514	DPAn3:EPA (Shin), SCD expression in Adipose_Subcutaneous (GTEx) mac=65, SCD expression in Adipose_Visceral_Omentum (GTEx) mac=65	NA	Shin
SCD	4	T1, T4	0.8721	0.8746	rs1993110	0.9999	NA	101826849	102320363	493514	AA:DGLA (Shin), DHA:DPAn3 (Shin)	NA	Shin
SCD	2	T9, T10, T11	0.828	0.8297	rs603424	1	NA	101826849	102320363	493514	POA:PA (Framingham), SCD expression in Adipose_Subcutaneous (GTEx) mac=65, SCD expression in Adipose_Visceral_Omentum (GTEx) mac=65	NA	Framingham
