reported_trait	variant_id	risk_allele	risk_frequency	or_per_copy_number	range	pvalue	chromosome_name	chromosome_position	dis_rs174546_grch38	ancestral_group	type	r2_eur	risk_allele_D5D/D6D activity	corr_alleles_eur	r2_eas	corr_alleles_eas	initial_sample_size	N	study_id	pubmed_id
Asthma	rs174535	T	NA	1.05	[1.04-1.06]	7.00E-12	11	61783884	-18474	European	initial	0.9657	increases	"rs174546(C)-rs174535(T), rs174546(T)-rs174535(C)"	0.9879	"rs174546(C)-rs174535(T), rs174546(T)-rs174535(C)"	40544 European ancestry cases 300671 European ancestry controls	341215	GCST007798	30929738
Asthma (adult onset)	rs174535	T	0.648	1.05	[1.04-1.06]	3.00E-11	11	61783884	-18474	European	initial	0.9657	increases	"rs174546(C)-rs174535(T), rs174546(T)-rs174535(C)"	0.9879	"rs174546(C)-rs174535(T), rs174546(T)-rs174535(C)"	26582 European ancestry cases 300671 European ancestry controls	327253	GCST007799	30929738
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)"	rs174535	NA	NA	NA	NA	2.00E-11	11	61783884	-18474	European	initial	0.9657	NA	"rs174546(C)-rs174535(T), rs174546(T)-rs174535(C)"	0.9879	"rs174546(C)-rs174535(T), rs174546(T)-rs174535(C)"	8726 European ancestry ankylosing spondylitis cases 19085 European ancestry Crohn’s disease cases 6530 European ancestry psoriasis cases 3408 European ancestry primary sclerosing cholangitis cases 14513 European ancestry ulcerative colitis cases 34213 European ancestry controls	86475	GCST005537	26974007
Inflammatory bowel disease	rs4246215	T	0.338	1.08	[1.05-1.11]	2.00E-15	11	61796827	-5531	European	initial	0.9053	decreases	"rs174546(C)-rs4246215(G), rs174546(T)-rs4246215(T)"	0.996	"rs174546(C)-rs4246215(G), rs174546(T)-rs4246215(T)"	12924 European ancestry cases 21442 European ancestry controls	34366	GCST001725	23128233
Asthma	rs1535	A	0.660367	1.05	[1.04-1.06]	4.00E-14	11	61830500	28142	European	initial	0.9696	increases	"rs174546(C)-rs1535(A), rs174546(T)-rs1535(G)"	0.9919	"rs174546(C)-rs1535(A), rs174546(T)-rs1535(G)"	64538 European ancestry cases 239321 European ancestry controls	303859	GCST010042	32296059
Inflammatory bowel disease	rs1535	NA	NA	NA	NA	3.00E-09	11	61830500	28142	European	initial	0.9696	NA	"rs174546(C)-rs1535(A), rs174546(T)-rs1535(G)"	0.9919	"rs174546(C)-rs1535(A), rs174546(T)-rs1535(G)"	12882 European ancestry cases 21770 European ancestry controls	34652	GCST003043	26192919
Asthma	rs174566	A	0.648975	1.04	[1.03-1.05]	5.00E-09	11	61824890	22532	European	replication	0.953	increases	"rs174546(C)-rs174566(A), rs174546(T)-rs174566(G)"	0.9919	"rs174546(C)-rs174566(A), rs174546(T)-rs174566(G)"	46802 European ancestry cases 347481 European ancestry controls	394283	GCST008916	31619474
Nonatopic asthma or type 2 diabetes	rs174584	NA	NA	NA	NA	4.00E-11	11	61843278	40920	European	initial	0.9005	NA	"rs174546(C)-rs174584(G), rs174546(T)-rs174584(A)"	0.9799	"rs174546(C)-rs174584(G), rs174546(T)-rs174584(A)"	28862 European ancestry asthma cases 422048 European ancestry asthma controls 159208 European ancestry diabetes cases and controls	610118	GCST009857	31669095
Adult onset asthma or type 2 diabetes	rs174584	NA	NA	NA	NA	2.00E-20	11	61843278	40920	European	initial	0.9005	NA	"rs174546(C)-rs174584(G), rs174546(T)-rs174584(A)"	0.9799	"rs174546(C)-rs174584(G), rs174546(T)-rs174584(A)"	33418 European ancestry asthma cases 393186 European ancestry asthma controls 159208 European ancestry diabetes cases and controls	585812	GCST009859	31669095
Asthma (adult onset)	rs174584	NA	NA	NA	NA	4.00E-16	11	61843278	40920	European	initial	0.9005	NA	"rs174546(C)-rs174584(G), rs174546(T)-rs174584(A)"	0.9799	"rs174546(C)-rs174584(G), rs174546(T)-rs174584(A)"	33418 European ancestry cases 393186 European ancestry controls	426604	GCST009842	31669095
Nonatopic asthma or fasting glucose levels	rs174583	C	NA	NA	NA	4.00E-10	11	61842278	39920	European	initial	0.9162	increases	"rs174546(C)-rs174583(C), rs174546(T)-rs174583(T)"	0.9369	"rs174546(C)-rs174583(C), rs174546(T)-rs174583(T)"	28862 European ancestry cases 422048 European ancestry controls 58047 European ancestry individuals	508957	GCST009843	31669095
Adult onset asthma or fasting glucose levels	rs174583	C	NA	NA	NA	4.00E-17	11	61842278	39920	European	initial	0.9162	increases	"rs174546(C)-rs174583(C), rs174546(T)-rs174583(T)"	0.9369	"rs174546(C)-rs174583(C), rs174546(T)-rs174583(T)"	33418 European ancestry cases 393186 European ancestry controls 58047 European ancestry individuals	484651	GCST009848	31669095
Nonatopic asthma	rs174583	NA	NA	NA	NA	1.00E-08	11	61842278	39920	European	initial	0.9162	NA	"rs174546(C)-rs174583(C), rs174546(T)-rs174583(T)"	0.9369	"rs174546(C)-rs174583(C), rs174546(T)-rs174583(T)"	28862 European ancestry cases 422048 European ancestry controls	450910	GCST009845	31669095
Asthma	rs174551	T	0.66	NA	NA	6.00E-18	11	61806212	3854	European	initial	1	increases	"rs174546(C)-rs174551(T), rs174546(T)-rs174551(C)"	0.996	"rs174546(C)-rs174551(T), rs174546(T)-rs174551(C)"	84492 European ancestry cases 2149 African American cases 606 Hispanic cases 1239 Japanese ancestry cases 437036 European ancestry controls 6055 African American controls 792 Hispanic controls 3976 Japanese ancestry controls	536345	GCST010043	32296059
Asthma (adult onset)	rs174621	G	0.772	1.07	[1.05-1.10]	1.00E-08	11	61862632	60274	European	initial	0.2508	increases	"rs174546(C)-rs174621(G), rs174546(T)-rs174621(A)"	5.00E-04	NA	21564 British ancestry cases 318237 British ancestry controls	339801	GCST007993	31036433
Asthma	rs174562	A	0.65436	1.04	[1.03-1.05]	6.00E-11	11	61817672	15314	NA	initial	0.9913	increases	"rs174546(C)-rs174562(A), rs174546(T)-rs174562(G)"	0.996	"rs174546(C)-rs174562(A), rs174546(T)-rs174562(G)"	16247 European ancestry cases 346486 European ancestry controls 52942 cases 355713 controls	771388	GCST009798	31959851
Chronic obstructive pulmonary disease-related biomarkers	rs2463822	T	NA	NA	NA	1.00E-10	11	62335948	533590	European	initial	0	NA	NA	0.0026	NA	Up to 1951 European ancestry smokers	1951	GCST001737	23144326
