SNP	Chr	SNP.GRCh37	SNP.GRCh38.p12	type
rs17267292	13	93323146	92670893	lead variant
rs10503296	8	NA	4958508	lead variant
rs11235247	11	NA	87638515	lead variant
rs13191834	6	NA	136539593	lead variant
rs174579	11	NA	61838141	lead variant
rs2291193	17	NA	59194718	lead variant
rs265603	12	NA	129651445	lead variant
rs3800433	6	NA	35033359	lead variant
rs558455	8	NA	26848064	lead variant
rs593860	11	NA	98024900	lead variant
rs949306	18	NA	3327803	lead variant
rs10099640	8	NA	103166153	lead variant
rs10508474	10	NA	14489531	lead variant
rs12035552	1	NA	245457816	lead variant
rs1222955	6	NA	101717454	lead variant
rs13966	11	NA	61897520	lead variant
rs174537	11	61552680	61785208	lead variant
rs17718324	5	NA	151678618	lead variant
rs1857869	5	NA	40093530	lead variant
rs2842846	6	NA	113315028	lead variant
rs4864809	4	NA	53645746	lead variant
rs11082403	18	NA	44737825	lead variant
rs12481689	20	NA	15584495	lead variant
rs17703271	17	NA	27244140	lead variant
rs2153903	1	NA	205647721	lead variant
rs2272674	8	NA	133566850	lead variant
rs2277324	12	58013175	57619392	lead variant
rs522501	4	NA	20495654	lead variant
rs6921231	6	NA	39173437	lead variant
rs749125	5	NA	139787223	lead variant
rs9969120	7	NA	86361051	lead variant
rs11025300	11	NA	19865143	lead variant
rs11622927	14	NA	78029689	lead variant
rs12880943	14	NA	33740069	lead variant
rs16940765	18	NA	24468583	lead variant
rs174556	11	61580635	61813163	lead variant
rs2489629	6	NA	127155572	lead variant
rs4493732	6	NA	162483133	lead variant
rs4985155	16	15129459	15035602	lead variant
rs8100262	19	NA	20638696	lead variant
rs9815041	3	NA	21259678	lead variant
rs10497175	2	NA	156068369	lead variant
rs10841528	12	NA	20444552	lead variant
rs12503812	4	NA	181997411	lead variant
rs13435183	4	NA	188042792	lead variant
rs16825624	3	NA	116795509	lead variant
rs174576	11	61603510	61836038	lead variant
rs435958	5	NA	74417384	lead variant
rs6918629	6	NA	23373986	lead variant
rs7674515	4	NA	40062943	lead variant
rs7922038	10	NA	4190845	lead variant
rs174547	11	61570783	61803311	lead variant
rs2236212	6	10995015	10994782	lead variant
rs3734398	6	10982973	10982740	lead variant
rs780094	2	27741237	27518370	lead variant
rs174538	11	61560081	61792609	lead variant
rs3798713	6	11008622	11008389	lead variant
rs102275	11	61557803	61790331	lead variant
rs2391388	1	95485825	95020269	lead variant
rs11190604	10	102302457	100542700	lead variant
rs603424	10	102075479	100315722	lead variant
rs6722456	2	134529091	133771520	lead variant
rs780093	2	27742603	27519736	lead variant
rs11119805	1	211918244	211744902	lead variant
rs6675668	1	95515637	95050081	lead variant
rs1348656	3	144933520	145215733	lead variant
rs6077678	20	1069103	1088460	lead variant
rs7556052	1	47414851	46949179	lead variant
rs9333029	1	47396162	46930490	lead variant
rs174550	11	61571478	61804006	lead variant
rs174548	11	61571348	61803876	lead variant
rs10514491	16	80315263	80281366	lead variant
rs8059670	16	61624701	61590797	lead variant
rs6498540	16	15130594	15036737	lead variant
rs968567	11	61595564	61828092	lead variant
rs7774711	6	NA	10964788	lead variant
rs2727271	11	61603358	61835886	lead variant
rs10153405	18	41270672	43690707	lead variant
rs864428	7	136925471	137240724	lead variant
rs6441206	3	158241071	158523282	lead variant
rs9563502	13	57944356	57370222	lead variant
rs6887589	5	107011559	107675858	lead variant
rs174601	11	61623140	61855668	lead variant
rs12285167	11	61492039	61724567	lead variant
rs1741	16	15130351	15036494	lead variant
rs174528	11	61543499	61776027	lead variant
rs2903922	11	61929298	62161826	lead variant
rs3741259	11	61282350	61514878	lead variant
rs472031	11	61638420	61870948	lead variant
rs760306	11	61724292	61956820	lead variant
rs11645411	16	14629455	14535598	lead variant
rs174555	11	61579760	61812288	lead variant
rs4781685	16	15845100	15751243	lead variant
rs540613	11	61680870	61913398	lead variant
rs879486	11	61475233	61707761	lead variant
rs13336445	16	804760	754760	lead variant
rs577543	16	938967	888967	lead variant
rs1136001	16	15131974	15038117	lead variant
rs4963466	11	61902126	62134654	lead variant
rs7080386	10	65048306	63288546	lead variant
rs2100944	19	8281635	8216751	lead variant
rs2967625	19	8298411	8233527	lead variant
rs680379	20	12969400	12988752	lead variant
rs174541	11	61565908	61798436	lead variant
