region	iteration	traits	posterior_prob	regional_prob	candidate_snp	posterior_explained_by_snp	dropped_trait	max	min	bp	traits_nice_names	dropped_trait_nice_names
ELOVL2	1	T11, T20, T26, T29	0.6396	0.8653	rs1225717	0.8913	NA	11481132	10483813	997319	DHA:DPAn3 (Framingham), GLA:LA (Shin), POA:PA (Shin), ELOVL2 expression in Liver (GTEx) mac=74	NA
ELOVL2	2	None	NA	0.0548	NA	NA	T10	11481132	10483813	997319	NA	DHA:DPAn3 (CHARGE)
ELOVL2	3	None	NA	0.078	NA	NA	T3	11481132	10483813	997319	NA	AA:DGLA (Shin)
ELOVL2	4	None	NA	0.1032	NA	NA	T12	11481132	10483813	997319	NA	DHA:DPAn3 (Shin)
ELOVL2	5	None	NA	0.0024	NA	NA	T15	11481132	10483813	997319	NA	DPAn3:EPA (Shin)
ELOVL2	6	None	NA	0.0024	NA	NA	T23	11481132	10483813	997319	NA	OA:SA (Shin)
ELOVL2	7	None	NA	0.0017	NA	NA	T6	11481132	10483813	997319	NA	ADA:AA (Shin)
ELOVL2	8	None	NA	0.0015	NA	NA	T27	11481132	10483813	997319	NA	ELOVL2 expression in Adipose_Subcutaneous (GTEx) mac=74
ELOVL2	9	None	NA	0.0014	NA	NA	T7	11481132	10483813	997319	NA	DGLA:GLA (CHARGE)
ELOVL2	10	None	NA	0.0013	NA	NA	T8	11481132	10483813	997319	NA	DGLA:GLA (Framingham)
ELOVL2	11	None	NA	0.0013	NA	NA	T17	11481132	10483813	997319	NA	DPAn6:AA (Shin)
ELOVL2	12	None	NA	9e-04	NA	NA	T9	11481132	10483813	997319	NA	DGLA:GLA (Shin)
ELOVL2	13	None	NA	6e-04	NA	NA	T14	11481132	10483813	997319	NA	DPAn3:EPA (Framingham)
ELOVL2	14	None	NA	3e-04	NA	NA	T28	11481132	10483813	997319	NA	ELOVL2 expression in Adipose_Visceral_Omentum (GTEx) mac=74
ELOVL2	15	None	NA	1e-04	NA	NA	T1	11481132	10483813	997319	NA	AA:DGLA (CHARGE)
ELOVL2	16	None	NA	1e-04	NA	NA	T2	11481132	10483813	997319	NA	AA:DGLA (Framingham)
ELOVL2	17	None	NA	0	NA	NA	T13	11481132	10483813	997319	NA	DPAn3:EPA (CHARGE)
ELOVL2	18	None	NA	0	NA	NA	T21	11481132	10483813	997319	NA	OA:SA (CHARGE)
ELOVL2	19	None	NA	0	NA	NA	T16	11481132	10483813	997319	NA	DPAn6:AA (Framingham)
ELOVL2	20	None	NA	0	NA	NA	T19	11481132	10483813	997319	NA	GLA:LA (Framingham)
ELOVL2	21	None	NA	0	NA	NA	T4	11481132	10483813	997319	NA	ADA:AA (CHARGE)
ELOVL2	22	None	NA	0	NA	NA	T5	11481132	10483813	997319	NA	ADA:AA (Framingham)
ELOVL2	23	None	NA	0	NA	NA	T25	11481132	10483813	997319	NA	POA:PA (Framingham)
ELOVL2	24	None	NA	0	NA	NA	T18	11481132	10483813	997319	NA	GLA:LA (CHARGE)
ELOVL2	25	None	NA	0	NA	NA	T24	11481132	10483813	997319	NA	POA:PA (CHARGE)
FADS1	1	T4, T5, T10, T11, T13, T14, T15, T19, T21, T22, T24, T27, T28, T30, T31	0.4177	0.5363	rs174547	0.6732	NA	62040838	61046610	994228	ADA:AA (CHARGE), ADA:AA (Framingham), DHA:DPAn3 (CHARGE), DHA:DPAn3 (Framingham), DPAn3:EPA (CHARGE), DPAn3:EPA (Framingham), DPAn3:EPA (Shin), GLA:LA (Framingham), OA:SA (CHARGE), OA:SA (Framingham), POA:PA (CHARGE), FADS1 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole_Blood (GTEx) mac=86	NA
FADS1	2	T2, T7	0.9952	1	rs174555	1	NA	62040838	61046610	994228	AA:DGLA (Framingham), DGLA:GLA (CHARGE)	NA
FADS1	3	T1, T18	0.5776	1	rs174546	0.8627	NA	62040838	61046610	994228	AA:DGLA (CHARGE), GLA:LA (CHARGE)	NA
FADS1	4	None	NA	1	NA	NA	T12	62040838	61046610	994228	NA	DHA:DPAn3 (Shin)
FADS1	5	T6, T8	0.9976	1	rs174556	1	NA	62040838	61046610	994228	ADA:AA (Shin), DGLA:GLA (Framingham)	NA
FADS1	6	T3, T29	1	1	rs968567	1	NA	62040838	61046610	994228	AA:DGLA (Shin), FADS1 expression in blood (eQTLGen)	NA
FADS1	7	None	NA	0.4717	NA	NA	T20	62040838	61046610	994228	NA	GLA:LA (Shin)
FADS1	8	None	NA	0.0071	NA	NA	T23	62040838	61046610	994228	NA	OA:SA (Shin)
FADS1	9	None	NA	0.0012	NA	NA	T17	62040838	61046610	994228	NA	DPAn6:AA (Shin)
FADS1	10	None	NA	0.0011	NA	NA	T9	62040838	61046610	994228	NA	DGLA:GLA (Shin)
FADS1	11	None	NA	1e-04	NA	NA	T26	62040838	61046610	994228	NA	POA:PA (Shin)
FADS1	12	None	NA	0	NA	NA	T25	62040838	61046610	994228	NA	POA:PA (Framingham)
FADS2	1	T4, T5, T10, T19, T21	0.8994	1	rs102275	0.3782	NA	62040838	61046610	994228	ADA:AA (CHARGE), ADA:AA (Framingham), DHA:DPAn3 (CHARGE), GLA:LA (Framingham), OA:SA (CHARGE)	NA
FADS2	2	T2, T7, T13, T14	0.4992	0.8282	rs174555	1	NA	62040838	61046610	994228	AA:DGLA (Framingham), DGLA:GLA (CHARGE), DPAn3:EPA (CHARGE), DPAn3:EPA (Framingham)	NA
