lnor	se	lnor_sh	se_sh	eaf	ncase	ncontrol	mac_case	mac_control
0.699305	0.300708	1.9999	0.728315407551665	0.0193645	339	195745	13.129131	7581.008105
4.60727	2.37704	1.9999	6.41926216976936	0.000263909	339	195745	0.178930302	103.31773441
2.18552	0.683181	1.9999	1.59317388548756	0.00423384	339	195745	2.87054352	1657.5060216
4.68742	2.37644	1.9999	6.69979059156429	0.000242287	339	195745	0.164270586	94.85293763
4.77588	2.40544	1.9999	6.40059966788335	0.000265449	339	195745	0.179974422	103.92062901
4.68742	2.37644	1.9999	6.69979059156429	0.000242287	339	195745	0.164270586	94.85293763
4.68742	2.37644	1.9999	6.69979059156429	0.000242287	339	195745	0.164270586	94.85293763
4.60727	2.37704	1.9999	6.41926216976936	0.000263909	339	195745	0.178930302	103.31773441
4.60727	2.37704	1.9999	6.41926216976936	0.000263909	339	195745	0.178930302	103.31773441
4.60727	2.37704	1.9999	6.41926216976936	0.000263909	339	195745	0.178930302	103.31773441
2.10982	0.644904	1.9999	1.50401947994676	0.00474342	339	195745	3.21603876	1857.0014958
2.22077	0.662821	1.9999	1.54019763185872	0.00452614	339	195745	3.06872292	1771.9385486
2.10743	0.67372	1.9999	1.46635599098748	0.00498659	339	195745	3.38090802	1952.2001191
2.2181	0.66424	1.9999	1.54226074172686	0.0045142	339	195745	3.0606276	1767.264158
2.1264	0.647767	1.9999	1.4835429376412	0.00487337	339	195745	3.30414486	1907.8756213
2.22553	0.663641	1.9999	1.5412592724959	0.00451999	339	195745	3.06455322	1769.5308851
2.12445	0.647526	1.9999	1.48769402370224	0.0048466	339	195745	3.2859948	1897.395434
2.1242	0.647743	1.9999	1.48917381718474	0.00483711	339	195745	3.27956058	1893.6801939
2.1114	0.67339	1.9999	1.59924002369803	0.00420218	339	195745	2.84907804	1645.1114482
2.21357	0.661914	1.9999	1.53677026294829	0.00454608	339	195745	3.08224224	1779.7448592
2.12492	0.675902	1.9999	1.59767003035496	0.00421034	339	195745	2.85461052	1648.3060066
2.12688	0.676207	1.9999	1.6028939589861	0.00418328	339	195745	2.83626384	1637.7122872
2.10027	0.64279	1.9999	1.50941981327781	0.00471001	339	195745	3.19338678	1843.9218149
2.13419	0.662821	1.9999	1.55034038514471	0.00446789	339	195745	3.02922942	1749.1342561
2.12772	0.676573	1.9999	1.57710843822542	0.00431943	339	195745	2.92857354	1691.0136507
2.1138	0.665715	1.9999	1.56017003566334	0.0044125	339	195745	2.991675	1727.449625
2.08107	0.665739	1.9999	1.55527579666331	0.00443995	339	195745	3.0102861	1738.1960255
2.11304	0.674747	1.9999	1.48309683612549	0.00487626	339	195745	3.30610428	1909.0070274
2.25776	0.655997	1.9999	1.47004347320814	0.00496197	339	195745	3.36421566	1942.5616353
2.14379	0.658389	1.9999	1.54080327973112	0.00452263	339	195745	3.06634314	1770.5644187
2.1232	0.647012	1.9999	1.50006818105584	0.00476809	339	195745	3.23276502	1866.6595541
2.11887	0.670304	1.9999	1.56237966154452	0.00440019	339	195745	2.98332882	1722.6303831
2.21559	0.662219	1.9999	1.53753491451852	0.00454162	339	195745	3.07921836	1777.9988138
2.12318	0.647501	1.9999	1.48376072916521	0.00487196	339	195745	3.30318888	1907.3236204
2.10169	0.672609	1.9999	1.45318692464864	0.00507602	339	195745	3.44154156	1987.2110698
2.21834	0.662913	1.9999	1.53493180840768	0.00455683	339	195745	3.08953074	1783.9533767
2.22218	0.663065	1.9999	1.54050123082871	0.00452438	339	195745	3.06752964	1771.2495262
2.11406	0.674791	1.9999	1.44372518096823	0.00514176	339	195745	3.48611328	2012.9476224
2.12278	0.675732	1.9999	1.49571683434511	0.00479548	339	195745	3.25133544	1877.3824652
2.12132	0.647077	1.9999	1.49066265011179	0.00482759	339	195745	3.27310602	1889.9532091
2.223	0.663207	1.9999	1.5406789870522	0.00452335	339	195745	3.0668313	1770.8462915
2.09722	0.642876	1.9999	1.50368354402321	0.00474551	339	195745	3.21745578	1857.8197099
2.1269	0.676211	1.9999	1.60289201916938	0.00418329	339	195745	2.83627062	1637.7162021
2.09477	0.671657	1.9999	1.46628138471865	0.00498709	339	195745	3.38124702	1952.3958641
2.22458	0.663509	1.9999	1.54083090433845	0.00452247	339	195745	3.06623466	1770.5017803
2.11461	0.645568	1.9999	1.50813933901093	0.0047179	339	195745	3.1987362	1847.010671
2.21875	0.664509	1.9999	1.54252916354751	0.00451265	339	195745	3.0595767	1766.6573485
2.11637	0.646046	1.9999	1.49478753631015	0.00480136	339	195745	3.25532208	1879.6844264
2.12832	0.676403	1.9999	1.598885608103	0.00420402	339	195745	2.85032556	1645.8317898
2.1764	0.656277	1.9999	1.52291836904337	0.00462802	339	195745	3.13779756	1811.8235498
2.21357	0.66154	1.9999	1.53894542693834	0.00453341	339	195745	3.07365198	1774.7846809
1.92627	0.639992	1.9999	1.48686946600875	0.0048519	339	195745	3.2895882	1899.470331
2.0907	0.670967	1.9999	1.46845250796664	0.00497257	339	195745	3.37140246	1946.7114293
2.12934	0.676267	1.9999	1.60161711922701	0.00418987	339	195745	2.84073186	1640.2922063
2.14498	0.657443	1.9999	1.5391381433549	0.00453229	339	195745	3.07289262	1774.3462121
2.1221	0.647183	1.9999	1.48979102627495	0.00483316	339	195745	3.27688248	1892.1338084
2.12499	0.647578	1.9999	1.4875585794475	0.00484747	339	195745	3.28658466	1897.7360303
2.11891	0.6463	1.9999	1.51437206962165	0.00467968	339	195745	3.17282304	1832.0479232
2.14437	0.655127	1.9999	1.53416584937931	0.00456132	339	195745	3.09257496	1785.7111668
2.21073	0.661606	1.9999	1.53923624955568	0.00453172	339	195745	3.07250616	1774.1230628
2.21158	0.661185	1.9999	1.53864101110662	0.00453518	339	195745	3.07485204	1775.4776182
2.12321	0.646975	1.9999	1.50051031860338	0.00476532	339	195745	3.23088696	1865.5751268
2.12689	0.676292	1.9999	1.6024537980307	0.00418555	339	195745	2.8378029	1638.6009695
2.22233	0.663023	1.9999	1.5412834650355	0.00451985	339	195745	3.0644583	1769.4760765
