region	iteration	traits	posterior_prob	regional_prob	candidate_snp	posterior_explained_by_snp	dropped_trait	min	max	bp	traits_nice_names	dropped_trait_nice_names	study_group
ELOVL2	1	T3, T11	0.9642	0.98	rs2236212	0.8487	NA	10738813	11231112	492299	DHA:DPAn3 / ELOVL2 (CHARGE), ELOVL2 expression in Liver (GTEx) mac=74	NA	CHARGE
ELOVL2	1	T2, T9, T12	0.6283	0.8137	rs1225717	0.8777	NA	10738813	11231112	492299	GLA:LA / D6D (Shin), POA:PA / SCD (Shin), ELOVL2 expression in Liver (GTEx) mac=74	NA	Shin
ELOVL2	2	T3, T6	0.6331	0.6459	rs16870896	0.998	NA	10738813	11231112	492299	DHA:DPAn3 / ELOVL2 (Shin), DPAn3:EPA / ELOVL2/5 (Shin)	NA	Shin
ELOVL2	1	T3, T12	0.8635	0.9256	rs8523	0.6564	NA	10738813	11231112	492299	DHA:DPAn3 / ELOVL2 (Framingham), ELOVL2 expression in Liver (GTEx) mac=74	NA	Framingham
FADS1	1	T1, T2, T8, T9, T10, T11, T12	0.3958	0.5543	rs174546	1	NA	61362758	61792714	429956	AA:DGLA / D5D (CHARGE), GLA:LA / D6D (CHARGE), POA:PA / SCD (CHARGE), FADS1 expression in Adipose Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose Visceral Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole Blood (GTEx) mac=86	NA	CHARGE
FADS1	2	T3, T4, T5, T7	0.8696	1	rs174535	0.453	NA	61362758	61792714	429956	DHA:DPAn3 / ELOVL2 (CHARGE), ADA:AA / ELOVL2/5 (CHARGE), DPAn3:EPA / ELOVL2/5 (CHARGE), OA:SA / SCD (CHARGE)	NA	CHARGE
FADS1	1	T3, T6, T10, T11, T12, T13	0.3009	0.5529	rs1535	1	NA	61303610	61792714	489104	DHA:DPAn3 / ELOVL2 (Shin), DPAn3:EPA / ELOVL2/5 (Shin), FADS1 expression in Adipose Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose Visceral Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole Blood (GTEx) mac=86	NA	Shin
FADS1	3	T1, T14	1	1	rs968567	1	NA	61303610	61792714	489104	AA:DGLA / D5D (Shin), FADS1 expression in blood (eQTLGen)	NA	Shin
FADS1	1	T1, T2, T3, T5, T6, T8, T10, T11, T12, T13	0.4294	0.738	rs174549	0.8803	NA	61338245	61792714	454469	AA:DGLA / D5D (Framingham), GLA:LA / D6D (Framingham), DHA:DPAn3 / ELOVL2 (Framingham), ADA:AA / ELOVL2/5 (Framingham), DPAn3:EPA / ELOVL2/5 (Framingham), OA:SA / SCD (Framingham), FADS1 expression in Adipose Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose Visceral Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole Blood (GTEx) mac=86	NA	Framingham
FADS2	1	T3, T4, T5, T7	0.8696	1	rs174535	0.453	NA	61362758	61792714	429956	DHA:DPAn3 / ELOVL2 (CHARGE), ADA:AA / ELOVL2/5 (CHARGE), DPAn3:EPA / ELOVL2/5 (CHARGE), OA:SA / SCD (CHARGE)	NA	CHARGE
FADS2	2	T9, T10, T12, T13	0.9989	1	rs968567	1	NA	61362758	61792714	429956	FADS2 expression in Adipose Subcutaneous (GTEx) mac=86, FADS2 expression in Adipose Visceral Omentum (GTEx) mac=86, FADS2 expression in Whole Blood (GTEx) mac=86, FADS2 expression in blood (eQTLGen)	NA	CHARGE
FADS2	3	T1, T2, T8	0.5248	1	rs174546	0.9661	NA	61362758	61792714	429956	AA:DGLA / D5D (CHARGE), GLA:LA / D6D (CHARGE), POA:PA / SCD (CHARGE)	NA	CHARGE
FADS2	1	T1, T10	0.9997	1	rs968567	1	NA	61303610	61792714	489104	AA:DGLA / D5D (Shin), FADS2 expression in Adipose Subcutaneous (GTEx) mac=86	NA	Shin
FADS2	3	T11, T13, T14	0.9987	1	rs968567	1	NA	61303610	61792714	489104	FADS2 expression in Adipose Visceral Omentum (GTEx) mac=86, FADS2 expression in Whole Blood (GTEx) mac=86, FADS2 expression in blood (eQTLGen)	NA	Shin
FADS2	4	T3, T6	0.9563	1	rs1535	1	NA	61303610	61792714	489104	DHA:DPAn3 / ELOVL2 (Shin), DPAn3:EPA / ELOVL2/5 (Shin)	NA	Shin
