SNP	outcome	beta.outcome	se.outcome	eaf.outcome	pval.outcome	ncase.outcome	ncontrol.outcome	effect_allele.outcome	other_allele.outcome
rs174546	Breast cancer	-0.00285768771182906	0.00577807949803291	0.335	0.620900880673444	139445	398407	T	C
rs174546	Cancer (all cause)	-0.0174524229356071	0.00531285504657177	0.357	0.00102003213544868	101440	437298	T	C
rs174546	Prostate cancer	-0.00816340258877413	0.00693791424980844	0.35	0.239340654559231	95512	378951	T	C
rs174546	Colorectal cancer	-0.070585557155581	0.00762537572236146	0.341	2.10914890253604e-20	82546	211703	T	C
rs174546	Lung cancer	-0.0462761789347217	0.0100936907176924	0.359	4.54717391918721e-06	36660	732695	T	C
rs174546	Ovarian cancer	0.0167388962315581	0.0121740057311924	0.346	0.169140654678556	30869	387356	T	C
rs174546	Basal cell carcinoma	-0.0397069267695247	0.0109492681628203	0.332	0.00028734917739393	21477	745697	T	C
rs174546	Malignant skin cancer	-0.0511279379271396	0.0114372087493234	0.353	7.81040917890168e-06	17426	440267	T	C
rs174546	Melanoma	-0.0259958474210228	0.0146469515087557	0.34	0.0759259784312788	14780	387260	T	C
rs174546	Endometrial cancer	0.0182053604014205	0.0148426637367255	0.348	0.219989461131477	14271	252606	T	C
rs174546	Kidney cancer	-0.0287495903877477	0.0171110841086601	0.335	0.0929235601515922	12199	578500	T	C
rs174546	Pancreatic cancer	0.00106470366274715	0.0207584685036783	0.344	0.959094366860452	9711	304511	T	C
rs174546	Gastric adenocarcinoma	-0.00235193051294082	0.0169670461482294	0.381	0.889752367546846	8913	198453	T	C
rs174546	Squamous cell carcinoma	-0.00391004972055527	0.0180646152957019	0.331	0.828638559976521	7808	628831	T	C
rs174546	Oral cavity and pharyngeal cancer	-0.0626018895603212	0.0234696163269557	0.331	0.00764499874266819	7359	474866	T	C
rs174546	Cancer of digestive organs	0.000465105616284139	0.0174634425709345	0.363	0.978752372454692	7272	450421	T	C
rs174546	Blood cancer	-0.00887571586901528	0.0180132023417118	0.36	0.622200604394737	6789	678731	T	C
rs174546	Glioma	0.0159796397066545	0.0234527580831965	0.338	0.495647274637016	8624	12985	T	C
rs174546	Esophageal adenocarcinoma	0.0112349382307598	0.0253508392979972	NA	0.657636877075839	4852	389175	T	C
rs174546	Cervical cancer	-0.0152061152022822	0.0268189976425316	NA	0.570720678567279	4505	100160	T	C
rs174546	Bladder cancer	-0.00787757278096385	0.0270003950976474	0.349	0.770471900327396	3719	460518	T	C
rs174546	Liver cancer	-0.0714696461285077	0.0309314530675688	0.4	0.0208559768877065	3572	569226	T	C
rs174546	Esophageal squamous cell carcinoma	-0.104746328294529	0.0309597419240622	0.357	0.000716183844400424	3313	198446	T	C
rs174546	Follicular lymphoma	-0.0427478739463562	0.0334058530601018	0.346	0.200667476447455	3005	104448	T	C
rs174546	Thyroid cancer	-0.0369109783099025	0.0356579039968719	0.335	0.300602806837057	2923	506047	T	C
rs174546	Acute lymphoblastic leukaemia	-0.065329678629125	0.0323465992445019	0.331	0.043416914830266	3178	33048	T	C
rs174546	Respiratory and intrathoracic cancer	-0.109452907076804	0.0292948763825062	0.365	0.000186786867374728	2559	455134	T	C
rs174546	Urinary tract cancer	-0.00589883713734	0.0294515386394126	0.367	0.841254089280165	2531	455162	T	C
rs174546	Multiple myeloma	0.0821407854373346	0.0314998908925597	0.352	0.00911653147257183	2495	478726	T	C
rs174546	Noncardia gastric adenocarcinoma	-0.0175921383179702	0.0436427867942967	0.367	0.686879195416445	2033	4981	T	C
rs174546	Non-hodgkin's lymphoma	0.018750172346226	0.0459150304244245	0.412	0.683004431019571	1233	104003	T	C
rs174546	Nervous system cancers	0.0329196799886401	0.0479197431891916	0.352	0.49209829313292	1072	468709	T	C
rs174546	Diffuse large b cell lymphoma	-0.0257281485727312	0.0319900194876763	0.33	0.421048241432	3857	7666	T	C
rs174546	Chronic lymphocytic leukaemia	-0.0202027073175195	0.0332466124006552	0.34	0.542469682428	3100	7667	T	C
rs174546	Neuroblastoma	-0.0058495	0.042673	0.32	0.89097	2101	4202	T	C
rs174546	Hodgkin’s lymphoma	0.013755	0.0309434	0.33	0.656666	3077	13680	T	C
rs174546	Meningioma	-0.00237055	0.0430817	0.33	NA	1606	9823	T	C
rs174546	Colon cancer	-0.061	0.0113	0.32	7.496e-08	31083	67694	T	C
rs174546	Gastric cardia adenocarcinoma	-0.0026488	0.055378	0.33	0.96185	1189	2708	T	C
rs174546	Rectal cancer	-0.0512	0.0147	0.32	0.0004956	15775	67694	T	C
rs174546	Distal colorectal cancer	-0.0816	0.015	0.32	5.079e-08	15306	67694	T	C
rs174546	Proximal colorectal cancer	-0.0469	0.0147	0.32	0.001381	13857	67694	T	C
rs174546	Clear cell ovarian cancer	0.04738	0.04228	0.33	0.2634	1366	40941	T	C
rs174546	Endometrioid ovarian cancer	0.08478	0.03017	0.33	0.005082	2810	40941	T	C
rs174546	ER- breast cancer	-0.0305	0.012	0.33	0.01131	21468	105974	T	C
rs174546	ER+ breast cancer	5e-04	0.0078	0.33	0.949	69501	105974	T	C
rs174546	High grade serous ovarian cancer	0.02748	0.01672	0.33	0.1005	13037	40941	T	C
rs174546	Invasive mucinous ovarian cancer	-0.00346	0.04209	0.33	0.9345	1417	40941	T	C
rs174546	Low grade serous ovarian cancer	0.008058	0.05109	0.33	0.8747	1012	40941	T	C
rs174546	Low malignant potential mucinous ovarian cancer	-0.01218	0.04672	0.33	0.7943	1149	40941	T	C
rs174546	Low malignant potential ovarian cancer	-0.01034	0.02998	0.33	0.7302	3103	40941	T	C
rs174546	Lung adenocarcinoma	-0.0319892433722554	0.017271	0.35	0.0640044137	11245	54619	T	C
rs174546	Small cell lung carcinoma	-0.0188434274754506	0.030763	0.33	0.5401771701	2791	20580	T	C
rs174546	Squamous cell lung cancer	-0.0309717099256724	0.019686	0.35	0.1156555351	7704	54763	T	C
rs174546	Serous ovarian cancer	0.02454	0.01625	0.33	0.131	14049	40941	T	C
rs174546	Mucinous ovarian cancer	-0.00745	0.0318	0.33	0.8147	2566	40941	T	C
rs174546	Advanced prostate cancer	0.0199	0.0146	0.34	0.172	15167	58308	T	C
rs174546	Early-onset prostate cancer	-0.042	0.0212	0.34	0.04754	6988	44256	T	C
rs174546	Low grade & low malignant potential serous ovarian cancer	-0.007486	0.03052	0.33	0.8062	2966	40941	T	C
rs174546	Low malignant potential serous ovarian cancer	-0.0158	0.03691	0.33	0.6684	1954	40941	T	C
rs174546	Lymphoma	0.0447086656127163	0.0356190575184879	0.35	0.209409	1752	359442	T	C
rs174546	Oral cancer	-0.0431162910736281	0.0348762729192191	0.32	0.2182	2990	6585	T	C
rs174546	Oropharyngeal cancer	-0.0756938443692003	0.037892492545206	0.32	0.04539	2641	6585	T	C
rs174546	High risk breast cancer	0.00199800266267306	0.0464630990532776	NA	0.9657	1478	5979	T	C
rs174546	Cancer (excluding non-melanoma skin cancer)	-0.0117940704568792	0.00704870747215429	0.34	0.094	50643	372016	T	C
rs174546	Leukaemia	-0.0394465215284129	0.0419996376856026	0.34	0.35	1260	372016	T	C
rs174546	Malignant non-melanoma skin cancer	-0.0429965901317255	0.00995464609634703	0.34	1.6e-05	23694	372016	T	C
