SNP	outcome	beta.outcome	se.outcome	eaf.outcome	pval.outcome	ncase.outcome	ncontrol.outcome	effect_allele.outcome	other_allele.outcome
rs174546	Chronic myeloid leukaemia KCML	0.0478373294141601	0.128	0.3	0.748	201	497	T	C
rs174546	Bladder cancer NBCS	-0.0054952	0.041122	0.33	0.89369	1799	4745	T	C
rs174546	Ewing's sarcoma ESS	-0.0403012967735257	0.09264	NA	0.6634	401	684	T	C
rs174546	Glioma GliomaScan	-0.0529789247908866	0.0461717713323029	0.36	0.2514703	1856	4955	T	C
rs174546	Cervical cancer SCCS	-0.0328331570952402	0.05238	NA	NA	1034	3948	T	C
rs174546	Esophageal squamous cell carcinoma N-UGC	-0.13264	0.048146	0.31	0.0058701	2013	2701	T	C
rs174546	Follicular lymphoma InterLymph	-0.0422813922566061	0.0349140508829777	0.34	0.225686354087	2847	8107	T	C
rs174546	Marginal zone lymphoma InterLymph	0.0136	0.058	0.34	0.81456	825	6221	T	C
rs174546	Multiple myeloma MMS	0.1009	0.039171850347763	0.35	0.01	1714	10391	T	C
rs174546	Melanoma MMAC	-0.0261386576096948	0.0183	0.34	0.153	11029	15244	T	C
rs174546	Noncardia gastric adenocarcinoma NB-UGC	0.11	0.07	0.41	NA	1006	2273	T	C
rs174546	Nasopharyngeal carcinoma MNC	-0.0539799	0.165866	0.66	0.744	271	456	T	C
rs174546	Squamous cell carcinoma 23NMSC	-0.0022218	0.0192519	0.33	0.908113	6579	280558	T	C
rs174546	Esophageal adenocarcinoma EAS	0.0306	0.0286	NA	0.2851	4112	17159	T	C
rs174546	Basal cell carcinoma 23NMSC	-0.031212	0.0140557	0.33	0.0261653	12945	274252	T	C
rs174546	Kidney cancer KidRISK	-0.0257	0.019	0.33	0.1773	10784	20406	T	C
rs174546	Acute lymphoblastic leukaemia BC-ALL	-0.0509724	0.0341248	0.33	0.135253	2442	14609	T	C
rs174546	Endometrial cancer ECAC	0.0160398	0.0160118	0.34	0.316465	12906	108979	T	C
rs174546	Thyroid cancer UKB	-0.0665	0.0787	0.35	0.398	358	407399	T	C
rs174546	Ovarian cancer OCAC (EAS)	-0.05581	0.0375	0.44	0.1367	3238	4083	T	C
rs174546	Colorectal cancer ACCC	-0.0959	0.0135	0.38	1.013e-12	23572	48700	T	C
rs174546	Basal cell carcinoma HNMSC	-0.0144	0.0271	0.33	0.5954	4242	12802	T	C
rs174546	Biliary tract cancer BJ	-0.099861406729474	0.0788199052521708	0.39	0.205170774381454	339	195745	T	C
rs174546	Blood cancer BJ	-0.0637233074286885	0.0414333476667027	0.39	0.12405558592236	1236	211217	T	C
rs174546	Cervical cancer BJ	0.0218061010398063	0.0595303518191723	0.39	0.714139560555324	605	89731	T	C
rs174546	Colorectal cancer GECCO/CORECT/CCFR	-0.0621	0.0094	0.32	3.379e-11	58131	67347	T	C
rs174546	Colorectal cancer BJ	-0.0849157056242488	0.0177644253414587	0.39	1.75209199121163e-06	7062	195745	T	C
rs174546	Colorectal cancer in females GECCO/CORECT/CCFR	-0.0626	0.0134	0.32	2.928e-06	26843	32820	T	C
rs174546	Colorectal cancer in males GECCO/CORECT/CCFR	-0.0632	0.0131	0.32	1.511e-06	31288	34527	T	C
rs174546	Endometrial cancer BJ	0.0443751595595031	0.0464153982040152	0.39	0.339050042250327	999	89731	T	C
rs174546	Esophageal squamous cell carcinoma BJ	-0.0850805557560827	0.0404261957640109	0.39	0.0353270378223287	1300	195745	T	C
rs174546	Gastric adenocarcinoma N-UGC	-0.057732	0.043142	0.33	0.18084	2350	2708	T	C
rs174546	Gastric adenocarcinoma BJ	0.0077811202302848	0.0184541325235568	0.39	0.67328306633474	6563	195745	T	C
rs174546	Kidney cancer in females KidRISK	-0.0454281574528504	0.046111003	0.33	0.324530131	1992	3095	T	C
rs174546	Kidney cancer in males KidRISK	0.00165489290904953	0.036634857	0.33	0.963969717	3227	4916	T	C
rs174546	Liver cancer BJ	-0.0676465427049988	0.0339073949620849	0.39	0.0460387314211174	1866	195745	T	C
rs174546	Lung cancer BJ	-0.0502165217038118	0.0231617254050013	0.39	0.030152442323101	4050	208403	T	C
rs174546	Noncardia gastric adenocarcinoma N-UGC	-0.098727	0.05582	0.34	0.076949	1027	2708	T	C
rs174546	Ovarian cancer BJ	0.0305257683903528	0.0545860005109276	0.39	0.576009270262871	720	89731	T	C
rs174546	Pancreatic cancer BJ	0.0203632698045129	0.0689006978583252	0.39	0.767577436912065	442	195745	T	C
rs174546	Prostate cancer PRACTICAL	-0.003	0.0085	0.34	0.7193	79148	61106	T	C
rs174546	Prostate cancer BJ	-0.0302719822218599	0.0209955374702091	0.39	0.149350519825901	5408	103939	T	C
rs174546	Squamous cell carcinoma HNMSC	0.0252	0.0737	0.33	0.7326	825	11518	T	C
rs174546	Glioma GICC/MDA	0.0591	0.0328	0.33	0.07184	4572	3286	T	C
rs174546	Glioma UCSF_AGS + SFAGS	0.0316814	0.0642578	0.33	0.621987	677	3940	T	C
rs174546	Glioma UCSF_Mayo	-0.0490852076904914	0.0751	0.33	0.513	1519	804	T	C
rs174546	Pancreatic cancer PanC4	-0.0173569	0.03494	0.33	0.619356	3933	3651	T	C
rs174546	Pancreatic cancer PanScan I+II	0.004	0.0355	0.34	0.91083	3525	3642	T	C
rs174546	Pancreatic cancer PanScan III	-0.0128	0.0508	0.34	0.80128	1582	5203	T	C
rs174546	Breast cancer BCAC	-0.007	0.0066	0.33	0.2894	122977	105974	T	C
rs174546	Lung cancer ILCCO	-0.0325572831957592	0.012464	0.35	0.008996152	29266	56450	T	C
rs174546	Lung cancer in ever smokers ILCCO	-0.0469385794109659	0.015742	0.33	0.0028660283	23848	16605	T	C
rs174546	Lung cancer in never smokers ILCCO	-0.025674794773415	0.038716	0.32	0.5072278223	2303	6995	T	C
rs174546	Ovarian cancer OCAC	0.02774	0.01405	0.33	0.04838	25509	40941	T	C
rs174546	Prostate cancer Gleason score survival	0.006	0.0064	0.34	0.3497	NA	NA	T	C
rs174546	Prostate cancer (high aggressive vs low/intermediate aggressive) survival	0.0185	0.0136	0.34	0.1738	NA	NA	T	C
rs174546	Prostate cancer (high aggressive vs low aggressive) survival	0.0325	0.0211	0.34	0.124	NA	NA	T	C
rs174546	Prostate cancer (advanced vs non-advanced) survival	0.0203	0.0147	0.34	0.1661	NA	NA	T	C
rs174546	Breast cancer survival survival	0.0494536	0.0283476	0.34	0.0810643	NA	NA	T	C
rs174546	ER+ Breast cancer survival survival	0.019979	0.0420931	0.35	0.635044	NA	NA	T	C
rs174546	ER- Breast cancer survival survival	0.0734428	0.0499289	0.34	0.141305	NA	NA	T	C
rs174546	Cancer (all cause) FinnGen 32	-0.0218	0.0164	0.41	0.1829	9792	86707	T	C
rs174546	Colorectal cancer FinnGen	0.0383	0.0504	0.42	0.4474	843	95656	T	C
rs174546	Follicular lymphoma FinnGen	-0.0478	0.1149	0.41	0.6774	158	96341	T	C
rs174546	Lung cancer FinnGen	-0.1711	0.0562	0.42	0.00233598	673	95826	T	C
rs174546	Lymphoid leukaemia FinnGen	-0.2169	0.103	0.41	0.0351399	198	96301	T	C
rs174546	Bladder cancer FinnGen	-0.1157	0.0763	0.41	0.1294	366	96133	T	C
rs174546	Brain cancer FinnGen	0.1324	0.1212	0.41	0.2747	142	96357	T	C
rs174546	Breast cancer FinnGen	-0.0032	0.0301	0.41	0.9141	2589	93910	T	C
rs174546	Endometrial cancer FinnGen	-0.003	0.0757	0.41	0.9686	366	53896	T	C
rs174546	Cancer of digestive organs FinnGen	0.0841	0.037	0.41	0.0231201	1582	94917	T	C
rs174546	Endocrine gland cancer FinnGen	-0.0058	0.08	0.41	0.9419	328	96171	T	C
rs174546	Central nervous system and eye cancer FinnGen	0.0922	0.1005	0.41	0.3587	207	96292	T	C
rs174546	Female genital cancer FinnGen	-0.0478	0.0559	0.41	0.3922	672	53590	T	C
rs174546	Kidney cancer FinnGen	-0.0655	0.0834	0.41	0.4321	301	96198	T	C
rs174546	Oral cavity and pharyngeal cancer FinnGen	-0.0147	0.0946	0.41	0.8763	234	96265	T	C
rs174546	Ovarian cancer FinnGen	0.0395	0.1064	0.41	0.7104	184	54078	T	C
rs174546	Pancreatic cancer FinnGen	0.1291	0.0954	0.41	0.1757	229	96270	T	C
