region	iteration	traits	posterior_prob	regional_prob	candidate_snp	posterior_explained_by_snp	dropped_trait	min	max	bp	traits_nice_names	dropped_trait_nice_names	trait_group
ELOVL2	1	T1, T2, T6	0.8169	0.9912	rs2236212	0.8984	NA	10483813	11481132	997319	DHA:DPAn3 (CHARGE), DHA:DPAn3 (Framingham), ELOVL2 expression in Liver (GTEx) mac=74	NA	DHA:DPAn3
FADS1	1	T1, T2, T4, T5, T7, T8	0.5917	0.678	rs174549	1	NA	61046610	62040838	994228	AA:DGLA (CHARGE), AA:DGLA (Framingham), FADS1 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole_Blood (GTEx) mac=86	NA	AA:DGLA
FADS1	2	T3, T6	1	1	rs968567	1	NA	61046610	62040838	994228	AA:DGLA (Shin), FADS1 expression in blood (eQTLGen)	NA	AA:DGLA
FADS1	1	T1, T2, T4, T5, T8	0.7427	0.9398	rs174545	0.3859	NA	61046610	62040838	994228	ADA:AA (CHARGE), ADA:AA (Framingham), FADS1 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS1 expression in Whole_Blood (GTEx) mac=86	NA	ADA:AA
FADS1	1	T1, T2, T4, T5, T7, T8	0.5728	0.7878	rs174548	1	NA	61046610	62040838	994228	DGLA:GLA (CHARGE), DGLA:GLA (Framingham), FADS1 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole_Blood (GTEx) mac=86	NA	DGLA:GLA
FADS1	1	T1, T2, T3, T4, T5, T7, T8	0.4665	0.5948	rs1535	1	NA	61046610	62040838	994228	DHA:DPAn3 (CHARGE), DHA:DPAn3 (Framingham), DHA:DPAn3 (Shin), FADS1 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole_Blood (GTEx) mac=86	NA	DHA:DPAn3
FADS1	1	T2, T6	0.8903	0.8977	rs968567	1	NA	61046610	62040838	994228	DPAn3:EPA (Framingham), FADS1 expression in blood (eQTLGen)	NA	DPAn3:EPA
FADS1	2	T1, T3, T4, T5, T7, T8	0.4216	0.5097	rs174547	0.6794	NA	61046610	62040838	994228	DPAn3:EPA (CHARGE), DPAn3:EPA (Shin), FADS1 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole_Blood (GTEx) mac=86	NA	DPAn3:EPA
FADS1	2	T3, T4, T7	0.6633	0.7894	rs174541	0.1935	NA	61046610	62040838	994228	FADS1 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS1 expression in Whole_Blood (GTEx) mac=86	NA	DPAn6:AA
FADS1	1	T2, T4, T5, T8	0.604	0.7416	rs174549	0.5399	NA	61046610	62040838	994228	GLA:LA (Framingham), FADS1 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS1 expression in Whole_Blood (GTEx) mac=86	NA	GLA:LA
FADS1	2	T1, T2, T4, T5, T7, T8	0.4005	0.5027	rs174547	0.4031	NA	61046610	62040838	994228	OA:SA (CHARGE), OA:SA (Framingham), FADS1 expression in Adipose_Subcutaneous (GTEx) mac=86, FADS1 expression in Adipose_Visceral_Omentum (GTEx) mac=86, FADS1 expression in Liver (GTEx) mac=86, FADS1 expression in Whole_Blood (GTEx) mac=86	NA	OA:SA
