region	iteration	traits	posterior_prob	regional_prob	candidate_snp	posterior_explained_by_snp	dropped_trait	min	max	bp	traits_nice_names	dropped_trait_nice_names	trait_group
ELOVL2	1	None	NA	0.0087	NA	NA	T3	10483813	11481132	997319	NA	AA:DGLA (Shin)	AA:DGLA
ELOVL2	2	None	NA	0.0199	NA	NA	T6	10483813	11481132	997319	NA	ELOVL2 expression in Liver (GTEx) mac=74	AA:DGLA
ELOVL2	3	None	NA	0.001	NA	NA	T4	10483813	11481132	997319	NA	ELOVL2 expression in Adipose_Subcutaneous (GTEx) mac=74	AA:DGLA
ELOVL2	4	None	NA	3e-04	NA	NA	T5	10483813	11481132	997319	NA	ELOVL2 expression in Adipose_Visceral_Omentum (GTEx) mac=74	AA:DGLA
ELOVL2	5	None	NA	1e-04	NA	NA	T1	10483813	11481132	997319	NA	AA:DGLA (CHARGE)	AA:DGLA
ELOVL2	1	None	NA	0.0158	NA	NA	T6	10483813	11481132	997319	NA	ELOVL2 expression in Liver (GTEx) mac=74	ADA:AA
ELOVL2	2	None	NA	0.0018	NA	NA	T3	10483813	11481132	997319	NA	ADA:AA (Shin)	ADA:AA
ELOVL2	3	None	NA	0.001	NA	NA	T4	10483813	11481132	997319	NA	ELOVL2 expression in Adipose_Subcutaneous (GTEx) mac=74	ADA:AA
ELOVL2	4	None	NA	0	NA	NA	T5	10483813	11481132	997319	NA	ELOVL2 expression in Adipose_Visceral_Omentum (GTEx) mac=74	ADA:AA
ELOVL2	5	None	NA	0	NA	NA	T1	10483813	11481132	997319	NA	ADA:AA (CHARGE)	ADA:AA
ELOVL2	1	None	NA	0.0158	NA	NA	T6	10483813	11481132	997319	NA	ELOVL2 expression in Liver (GTEx) mac=74	DGLA:GLA
ELOVL2	2	None	NA	0.0015	NA	NA	T4	10483813	11481132	997319	NA	ELOVL2 expression in Adipose_Subcutaneous (GTEx) mac=74	DGLA:GLA
ELOVL2	3	None	NA	0.0014	NA	NA	T1	10483813	11481132	997319	NA	DGLA:GLA (CHARGE)	DGLA:GLA
ELOVL2	4	None	NA	0.0013	NA	NA	T2	10483813	11481132	997319	NA	DGLA:GLA (Framingham)	DGLA:GLA
ELOVL2	5	None	NA	9e-04	NA	NA	T3	10483813	11481132	997319	NA	DGLA:GLA (Shin)	DGLA:GLA
ELOVL2	1	T1, T2, T6	0.8169	0.9912	rs2236212	0.8984	NA	10483813	11481132	997319	DHA:DPAn3 (CHARGE), DHA:DPAn3 (Framingham), ELOVL2 expression in Liver (GTEx) mac=74	NA	DHA:DPAn3
ELOVL2	2	None	NA	0.0962	NA	NA	T3	10483813	11481132	997319	NA	DHA:DPAn3 (Shin)	DHA:DPAn3
ELOVL2	3	None	NA	0.0014	NA	NA	T4	10483813	11481132	997319	NA	ELOVL2 expression in Adipose_Subcutaneous (GTEx) mac=74	DHA:DPAn3
ELOVL2	1	None	NA	0.0157	NA	NA	T6	10483813	11481132	997319	NA	ELOVL2 expression in Liver (GTEx) mac=74	DPAn3:EPA
ELOVL2	2	None	NA	0.0024	NA	NA	T3	10483813	11481132	997319	NA	DPAn3:EPA (Shin)	DPAn3:EPA
ELOVL2	3	None	NA	0.0014	NA	NA	T4	10483813	11481132	997319	NA	ELOVL2 expression in Adipose_Subcutaneous (GTEx) mac=74	DPAn3:EPA
